tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,relevancia,descrption,img_link
tt0477348,movie,No Country for Old Men,No Country for Old Men,2007,"Crime,Drama,Thriller",8.2,1012601,8303328.199999999,Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.,"https://m.media-amazon.com/images/M/MV5BYzRhYmExOTUtYjJjNy00MjRlLTkzNzktZjkwNWJmMmE5NzMzXkEyXkFqcGdeQUlNRGJWaWRlb1RodW1ibmFpbFNlcnZpY2U@._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt2267998,movie,Gone Girl,Gone Girl,2014,"Drama,Mystery,Thriller",8.1,1018956,8253543.6,"Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.","https://m.media-amazon.com/images/M/MV5BNDMwOTk3MDI1MV5BMl5BanBnXkFtZTgwNTYzOTM1MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0268978,movie,A Beautiful Mind,A Beautiful Mind,2001,"Biography,Drama",8.2,956839,7846079.799999999,A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.,"https://m.media-amazon.com/images/M/MV5BOTNkYzBiMTgtOTRkOS00ZTAyLTkyZjItMWY0YjE5MjJhYzRiXkEyXkFqcGdeQXRodW1ibmFpbC1pbml0aWFsaXplcg@@._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt2582802,movie,Whiplash,Whiplash,2014,"Drama,Music",8.5,919250,7813625.0,Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.,"https://m.media-amazon.com/images/M/MV5BMjMxNzAzMjY0NF5BMl5BanBnXkFtZTgwOTE4NTgyMjE@._V1_QL75_UX500_CR0,46,500,281_.jpg"
tt0078748,movie,Alien,Alien,1979,"Horror,Sci-Fi",8.5,911564,7748294.0,"Depois que um navio mercante do espaço percebe uma transmissão desconhecida como uma chamada de socorro, encontra um dos tripulantes atacado por um misterioso modo de vida, e logo percebem q... Ler tudo","https://m.media-amazon.com/images/M/MV5BMTc4OTYzNjc2MV5BMl5BanBnXkFtZTgwNDA2MzIzMzE@._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",2001,"Adventure,Animation,Comedy",8.1,941417,7625477.699999999,"Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.","https://m.media-amazon.com/images/M/MV5BODc5NTE4OTI3OF5BMl5BanBnXkFtZTgwNDQ4NjMyMzE@._V1_QL75_UY281_CR11,0,500,281_.jpg"
tt1675434,movie,The Intouchables,Intouchables,2011,"Biography,Comedy,Drama",8.5,889911,7564243.5,"Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.","https://m.media-amazon.com/images/M/MV5BNjk3MDQyMjk4NV5BMl5BanBnXkFtZTgwNTIxNjU0NzE@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0095016,movie,Die Hard,Die Hard,1988,"Action,Thriller",8.2,907476,7441303.199999999,"John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa d... Ler tudo","https://m.media-amazon.com/images/M/MV5BZDViZDAzMjAtY2E1YS00OThkLWE2YTMtYzBmYWRjMWY0MDhkXkEyXkFqcGdeQXRzdGFzaWVr._V1_QL75_UY281_CR19,0,500,281_.jpg"
tt2488496,movie,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",7.8,952305,7427979.0,"Três décadas depois da derrota do Imperio, uma noiva ameaça crece no Primeiro Ordem. Finn e Rey estão atrapados na Resistencia que procura pelo Luke Skywalker.","https://m.media-amazon.com/images/M/MV5BMTkyNTcyNjM3MV5BMl5BanBnXkFtZTgwMzcwOTg5OTE@._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt6751668,movie,Parasite,Gisaengchung,2019,"Drama,Thriller",8.5,872277,7414354.5,"Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.","https://m.media-amazon.com/images/M/MV5BYWJjNWYzMzItYmEyNC00ODdmLWJmOGEtMWY0N2E2NGJlNTY0XkEyXkFqcGdeQWFybm8@._V1_QL75_UY281_CR86,0,500,281_.jpg"
tt0050083,movie,12 Angry Men,12 Angry Men,1957,"Crime,Drama",9.0,823222,7408998.0,"O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.","https://m.media-amazon.com/images/M/MV5BNGRlZjVhNWMtOTUxYi00MTYxLWEzOWUtMTM1NDc3ZWRjMDZjXkEyXkFqcGdeQWRpZWdtb25n._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0253474,movie,The Pianist,The Pianist,2002,"Biography,Drama,Music",8.5,866723,7367145.5,Um musico judeu luta para sobreviver a destruição de Varsóvia durante a segunda guerra mundial.,"https://m.media-amazon.com/images/M/MV5BMmQ4MWQzNDEtYmI4Zi00NmY0LWEwYTEtZTg4MmQ3MDM2YmJlXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",8.1,909486,7366836.6,"Harry, Ron e Hermione devem escapar a Voldemort e tentar trabalhar em conjunto para localizar e aniquilar os Horcruxes, que contêm pedaços da alma de Voldemort.","https://m.media-amazon.com/images/M/MV5BODcwODM5NTcxOV5BMl5BanBnXkFtZTgwNjA4MTMyMzE@._V1_QL75_UY281_CR81,0,500,281_.jpg"
tt0086250,movie,Scarface,Scarface,1983,"Crime,Drama",8.3,875796,7269106.800000001,"Em Miamo em 1980, um imigrante cubano toma o control dum cartel de drogas.","https://m.media-amazon.com/images/M/MV5BZmJlYTQ1YWEtNGRkOS00NmZmLTkyNDItN2JkMWUzMGZkYzVhXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0088247,movie,The Terminator,The Terminator,1984,"Action,Sci-Fi",8.1,893567,7237892.699999999,Um indestrutível robô é enviado de 2029 a 1984 para assassinar a uma jovem garçonete que vai ter um filho que vai liderar uma guerra contra máquinas maa um soldado humano também é enviado pa... Ler tudo,"https://m.media-amazon.com/images/M/MV5BMWQxZjRjMDUtYzYxZC00MWQ4LThiYTctNDkwN2QwMTkxYTk5XkEyXkFqcGdeQWFybm8@._V1_QL75_UY281_CR0,0,500,281_.jpg"
tt0208092,movie,Snatch,Snatch,2000,"Comedy,Crime",8.2,880318,7218607.6,Segue a luta de criminais tráis um diamante como nenhum outro nu mundo.,"https://m.media-amazon.com/images/M/MV5BOGU4YzdkNmQtMjJjMS00MDA4LTkwYWUtYjNiNDNhMDMzZDcwXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0180093,movie,Requiem for a Dream,Requiem for a Dream,2000,Drama,8.3,868341,7207230.300000001,As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.,"https://m.media-amazon.com/images/M/MV5BNzFmMzRmMjQtOGNiZS00YjdjLThhNTUtM2M1YzI0NDQ1ZTcyXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
